geo,name,2016,2017,2018,2019,2020,2021,2022,2023,2024
lso,Lesotho,49.03875,54.70708,56.03417,55.21542,51.45625,58.62917,57.01167,58.04792,58.23958
ltu,Lithuania,78.56917,78.65083,85.10875,84.94375,85.08625,91.10542,90.57083,93.48083,89.36125
lux,Luxembourg,68.74417,71.01333,78.86375,78.67125,80.575,85.58667,88.08333,88.94083,85.81792
lva,Latvia,83.88208,84.33958,83.66917,83.38917,84.06917,87.97958,89.05083,91.42708,88.08125
mar,Morocco,60.02167,63.67625,66.52417,65.68292,69.50292,69.96042,67.99458,70.01083,73.06833
mda,Moldova,72.2125,70.23792,76.62125,80.3225,82.26125,85.33417,84.07917,86.07167,85.67417
mdg,Madagascar,40.22208,43.19333,51.3575,51.14375,54.83542,57.54417,58.40583,56.40833,57.49708
mdv,Maldives,49.80417,50.305,51.2,53.6925,62.22708,63.22875,59.25208,65.26083,64.37417
mex,Mexico,79.6875,87.71417,86.43167,86.17042,86.33042,89.12083,88.97458,91.63833,90.95042
mhl,Marshall Islands,16.5775,20.89208,21.29042,21.52042,35.45958,41.96667,40.10667,40.98167,43.54042
mkd,North Macedonia,62.60708,66.03625,70.80875,72.69875,77.72208,83.68833,82.5475,84.95875,87.17292
mli,Mali,49.67792,53.87292,57.43,52.77125,54.06125,62.78625,64.41208,63.37833,66.50583
mlt,Malta,70.07042,74.49625,74.70833,75.53833,74.4925,81.61042,81.67208,85.65583,83.8475
mmr,Myanmar,44.09,53.8825,60.93667,63.76292,65.3875,65.43083,65.93583,64.88958,64.52125
mne,Montenegro,57.26333,60.62542,63.41042,65.68917,69.82208,78.20417,72.10458,71.94417,73.89208
mng,Mongolia,68.18167,74.11208,77.46208,77.28333,83.18458,84.495,81.9875,82.70875,83.73333
moz,Mozambique,52.67208,56.39083,56.59792,59.23042,55.86833,59.11708,63.82917,65.42667,66.7375
mrt,Mauritania,40.85417,45.11458,50.94875,54.39875,53.84792,59.63417,59.74042,60.83042,58.44833
mus,Mauritius,74.73083,75.6425,74.29458,72.56708,74.07917,75.14583,76.5225,78.67625,80.44125
mwi,Malawi,55.46583,57.455,55.66458,58.30708,60.68458,65.45583,62.78458,63.58333,64.34375
mys,Malaysia,61.34042,62.53583,70.45417,68.89042,70.77708,74.76625,75.83167,80.08792,84.99125
nam,Namibia,49.86708,52.93583,52.51167,50.21083,50.965,54.5925,53.70833,55.01292,55.66417
ner,Niger,53.95792,56.92458,56.88583,57.35583,60.78792,68.38792,68.76583,66.90625,70.46542
nga,Nigeria,57.11708,56.04208,54.24042,56.91542,58.79083,62.37458,62.75333,65.55708,69.1175
nic,Nicaragua,48.18792,47.95417,51.52083,51.65458,49.17458,56.59125,55.35875,56.45375,55.80375
nld,Netherlands,74.14417,76.21625,84.21958,84.26583,84.91708,89.35875,88.16,89.9825,85.13292
nor,Norway,78.82208,82.61625,90.1625,90.09375,90.46833,93.7625,92.69917,94.55667,94.14333
npl,Nepal,48.22833,53.23333,53.88917,52.88917,54.97,65.66125,62.70125,61.01875,60.36792
nru,Nauru,,,,,,,41.44875,46.4825,47.93958
nzl,New Zealand,78.96292,83.5525,83.5,83.50375,83.67125,88.62792,87.93458,91.30958,91.73875
omn,Oman,41.24333,48.95417,49.93458,50.86958,55.17125,57.56792,58.62792,58.24667,59.22083
pak,Pakistan,56.92333,59.48833,62.20792,61.00542,62.91042,68.34,69.24458,68.91083,68.06125
pan,Panama,54.93417,57.61792,62.90833,64.58458,67.62875,71.62833,73.43625,76.27958,77.7325
per,Peru,62.89375,66.11833,68.27292,68.01292,68.24625,75.79667,77.17292,78.71583,81.98125
phl,Philippines,73.24375,74.49208,75.87958,75.39333,79.15208,81.91958,81.45208,82.70375,83.835
plw,Palau,,,,,53.63042,55.41292,51.69167,55.06542,60.95417
png,Papua New Guinea,26.96542,32.725,40.585,40.50625,44.44208,46.47708,44.04083,44.24458,43.6275
pol,Poland,81.71958,82.58417,88.22958,89.07083,89.90042,94.58583,94.18875,94.65375,91.10625
prt,Portugal,85.675,86.14375,85.95917,86.25917,87.14958,91.56875,92.35833,93.77833,90.70792
pry,Paraguay,53.02042,55.74417,57.63542,59.37958,65.66708,70.04875,71.29333,71.61833,74.20792
pse,Palestine,,58.50833,67.03792,66.76292,73.19208,77.8625,74.925,76.3475,74.40042
qat,Qatar,44.81625,47.71333,47.86792,55.51833,56.26292,67.26625,66.71375,66.78625,68.10458
rou,Romania,,72.455,78.16917,79.17792,84.45792,82.57458,86.64625,88.6175,91.045
rus,Russia,69.58083,72.35625,74.20667,75.85042,77.855,81.50042,80.99458,80.94583,81.50083
rwa,Rwanda,54.78958,63.735,65.03958,62.79208,65.73958,70.19625,67.67667,73.13917,72.60167
sau,Saudi Arabia,42.69875,47.22667,55.125,59.71875,67.33042,72.3025,76.38708,83.86333,83.2875
sdn,Sudan,38.20042,34.64875,42.74833,39.49125,36.3325,39.57875,43.3125,44.06,42.09625
sen,Senegal,55.07917,60.37917,63.83042,65.90042,68.28583,77.45958,75.63125,76.87875,81.41417
sgp,Singapore,65.27708,67.9975,77.93167,78.10917,81.53375,85.06792,86.6675,88.7675,88.31875
slb,Solomon Islands,33.04333,38.59625,44.43333,41.32458,43.63167,50.33417,50.4025,49.255,51.03167
sle,Sierra Leone,45.58792,49.15167,53.58833,53.15333,52.015,58.83625,60.32625,61.105,59.94167
slv,El Salvador,67.36958,68.12083,69.94167,69.46333,65.07708,74.4175,74.09333,75.56083,73.74
som,Somalia,,11.76958,19.67917,25.94792,34.99083,41.60833,43.91333,45.67833,51.71083
srb,Serbia,68.77417,73.73708,75.28542,75.79292,80.86208,81.1475,79.82083,84.07208,80.48875
ssd,South Sudan,30.785,23.96083,25.37583,31.16917,29.85458,32.19208,29.21667,23.84125,27.1225
stp,Sao Tome and Principe,45.595,50.925,51.135,42.63083,54.41375,57.2725,55.83833,53.43125,52.97042
sur,Suriname,36.51625,42.12625,53.38,51.47292,55.86667,61.94583,58.33208,57.5375,58.625
svk,Slovak Republic,82.20208,85.67,85.38625,85.595,86.26042,90.52333,88.47083,89.76833,83.25125
svn,Slovenia,86.86625,88.30792,88.34,88.60125,89.78708,93.07,92.70417,94.22042,91.08667
swe,Sweden,88.02958,88.67125,88.72167,88.86417,90.25875,93.44292,92.96125,94.41,92.66125
swz,Eswatini,46.20125,49.68375,58.54208,51.18042,47.2075,56.45875,52.99583,61.5225,60.965
syc,Seychelles,,52.97833,57.57542,59.90917,61.85167,60.28583,59.34917,59.99792,64.53375
syr,Syria,,24.10792,23.98875,24.11375,25.11083,26.74708,28.26292,31.83792,32.4175
tcd,Chad,28.50292,31.71667,31.91667,38.88333,41.17375,46.84875,48.60583,52.36583,53.56625
tgo,Togo,52.03833,59.44667,60.92917,61.21042,62.40875,69.76667,68.22792,64.42583,66.55208
tha,Thailand,77.69208,76.25042,76.69333,76.12083,79.2775,82.68417,83.97417,83.57833,85.03917
tjk,Tajikistan,50.88958,55.61917,56.18667,56.43042,57.20542,56.71208,53.24708,53.60833,63.86875
tkm,Turkmenistan,19.16333,22.215,16.64708,23.14083,26.84125,28.675,30.74625,30.7175,29.65417
tls,Timor-Leste,,48.83875,54.94833,56.37875,55.93125,57.99375,60.42333,61.80083,60.51667
ton,Tonga,,,,,55.46083,66.18375,63.55,64.05,63.20333
tto,Trinidad and Tobago,38.92708,39.83083,47.01125,44.54333,44.53625,55.44417,57.94708,57.78208,59.38417
tun,Tunisia,62.4075,60.32125,64.71833,64.90083,66.43958,74.73,75.25083,75.45458,75.4575
tur,Turkey,72.64542,77.20292,77.99,78.47125,78.14583,80.0825,77.72083,78.67708,79.34833
tuv,Tuvalu,,,,,,,41.4225,42.68875,43.01667
tza,Tanzania,61.24583,62.47708,57.68125,58.23458,61.53083,64.6225,69.21125,70.85125,68.22042
uga,Uganda,63.93458,67.79,65.84833,67.7375,68.69542,72.49333,65.25875,66.6275,68.69958
ukr,Ukraine,67.34458,68.25292,69.22792,72.14417,76.0125,80.05917,77.52333,78.41333,75.99708
ury,Uruguay,65.5325,68.3375,67.80083,66.99208,70.64583,80.94,76.67458,81.10042,80.14667
usa,USA,87.97,87.10917,87.24958,87.25708,86.89833,92.75,91.87542,93.43042,90.05875
uzb,Uzbekistan,37.73125,43.625,50.54292,53.91,67.80333,71.055,75.79083,81.99208,81.49083
vct,St. Vincent and the Grenadines,39.17875,37.63125,45.26083,48.12458,47.66958,48.53625,48.27958,48.38708,51.95917
ven,Venezuela,45.18,52.16792,49.03833,47.865,47.94625,49.57,48.62667,39.3925,39.4575
vnm,Vietnam,53.71167,59.125,59.62833,58.96208,61.50042,67.10333,66.71792,71.62417,67.23833
vut,Vanuatu,38.14167,40.5075,39.49917,42.68167,41.95792,50.63833,52.03458,52.93583,53.44708
wsm,Samoa,53.17583,58.58542,58.90708,55.38708,59.5925,64.42375,64.02958,64.78458,62.82958
yem,Yemen,39.09875,43.60458,39.72333,33.59458,29.08667,28.31542,32.91792,37.69458,37.43583
zaf,South Africa,76.15208,75.93542,75.57958,73.63833,75.4975,81.04292,81.2425,81.7025,81.28792
zmb,Zambia,56.2475,60.28042,60.6825,60.1875,62.82833,62.29792,62.21458,63.50083,64.16833
zwe,Zimbabwe,41.31458,51.00583,58.18,64.3225,67.97417,72.46417,70.27125,70.4025,66.80208
