country_code,country,tb_incidence,physicians,uhc,spi_overall,spi_pillar5,health_expenditure,physicians_z,uhc_z,spi_overall_z,spi_pillar5_z,health_expenditure_z,HSPI,Preparedness Level,Quadrant
cze,Czech Republic,4.9,4.352,99.0,91.04125,95.0,8.42677,1.3251931187663797,0.7830206105204917,1.1790491922961066,1.163479292364858,0.4830132503342184,83.6839521110865,Very High,Resilient
deu,Germany,5.6,4.534,99.0,92.47083,95.0,11.74429,1.4309534508758417,0.7830206105204917,1.2648856803082382,1.163479292364858,1.4978898917959222,91.54289258999019,Very High,Resilient
dji,Djibouti,477.0,0.211,42.0,39.58,55.0,2.28316,-1.081144987086826,-1.4636573106414354,-1.910846419501972,-0.6135694056359496,-1.396404592889195,9.428663896243027,Low,Priority
dnk,Denmark,3.5,4.498,100.0,95.25583,100.0,9.5573,1.4100338247442998,0.8224360126461395,1.4321058562436777,1.3856103796149588,0.8288584869783684,89.84154361802457,Very High,Resilient
dom,Dominican Republic,50.0,2.426,89.0,74.45333,75.0,4.5988,0.20599312072888282,0.38886658926401324,0.1830582045751008,0.27495494336445414,-0.6880173198556098,53.922242701421915,High,High Burden
dza,Algeria,55.0,1.66,86.0,57.36292,50.0,4.35083,-0.23913003529226087,0.27062038288706974,-0.8431038661641441,-0.8357004928860505,-0.7638748763385422,35.83915293243535,Moderate,Priority
ecu,Ecuador,59.0,2.313,91.0,78.47458,60.0,7.56168,0.140328738704876,0.4676973935153089,0.4245067261120446,-0.3914383183858487,0.21836989211419108,57.144113701429944,High,High Burden
egy,Egypt,10.0,0.671,97.0,77.78667,75.0,4.88449,-0.8138386531837895,0.704189806269196,0.3832024420087237,0.27495494336445414,-0.6006206778763015,51.20612480624997,High,Resilient
esp,Spain,9.7,4.294,100.0,94.325,100.0,9.22066,1.2914892766655615,0.8224360126461395,1.3762158898645087,1.3856103796149588,0.7258755139799637,88.0344524625631,Very High,Resilient
est,Estonia,9.1,3.469,99.0,92.79458,100.0,7.47082,0.8120811778177243,0.7830206105204917,1.2843246504910377,1.3856103796149588,0.1905745233920099,80.5693322555382,Very High,Resilient
eth,Ethiopia,143.0,0.143,12.0,62.67375,45.0,2.8031,-1.1206598364464053,-2.646119374410871,-0.5242248977751995,-1.0578315801361515,-1.2373475379319987,8.643335490940592,Low,Priority
fin,Finland,3.7,3.609,99.0,95.11542,100.0,10.4739,0.8934352794403877,0.7830206105204917,1.4236751973915787,1.3856103796149588,1.1092594881972906,87.99129008433164,Very High,Resilient
fra,France,8.3,3.281,99.0,92.82958,100.0,11.51975,0.7028342413530052,0.7830206105204917,1.2864261607810707,1.3856103796149588,1.4291999061820269,87.93976676177492,Very High,Resilient
fsm,"Micronesia, Fed. Sts.",397.0,0.974,90.0,36.50792,25.0,12.88088,-0.6377651332433111,0.4282819913896611,-2.0953037832677692,-1.9463559291365553,1.8455889687928833,35.87585920846292,Moderate,Priority
gab,Gabon,380.0,0.521,24.0,46.82917,45.0,3.13431,-0.9010037620652145,-2.1731345489030964,-1.475583409524984,-1.0578315801361515,-1.1360256793091323,7.618063161530232,Low,Priority
gbr,UK,8.6,3.301,99.0,88.9025,90.0,10.99129,0.7144562558705285,0.7830206105204917,1.0506319027873374,0.941348205114757,1.2675364618179077,82.5325283105966,Very High,Resilient
geo,Georgia,51.0,5.642,90.0,89.2675,90.0,6.85759,2.0748130551466346,0.4282819913896611,1.0725476529548186,0.941348205114757,0.0029787280860100952,80.98856068721446,Very High,High Burden
gha,Ghana,129.0,0.266,41.0,66.245,60.0,2.94687,-1.049184447163637,-1.5030727127670833,-0.3097957942529589,-0.3914383183858487,-1.1933662462614285,22.578854123130114,Low,Priority
gin,Guinea,178.0,0.21,42.0,51.3225,55.0,3.69443,-1.0817260878127022,-1.4636573106414354,-1.205789717196083,-0.6135694056359496,-0.964676989801449,16.82986553204631,Low,Priority
gmb,Gambia,142.0,0.09,54.0,68.58875,55.0,2.8925,-1.151458174917842,-0.9906724851336612,-0.16906965875971405,-0.6135694056359496,-1.20999880401429,24.611794653969717,Low,Priority
gnb,Guinea-Bissau,178.0,0.252,23.0,43.90417,40.0,8.82205,-1.0573198573259033,-2.2125499510287443,-1.6512096266205534,-1.2799626673862525,0.6039350349314427,15.086154924871217,Low,Priority
gnq,Equatorial Guinea,203.0,0.153,36.0,31.07125,35.0,3.49942,-1.1148488291876437,-1.7001497233953224,-2.421738581796648,-1.5020937546363533,-1.024333327623511,0.9765082964230051,Low,Priority
grc,Greece,5.6,6.576,99.0,90.57542,100.0,8.39367,2.6175611331149735,0.7830206105204917,1.1510792911987968,1.3856103796149588,0.4728874886711744,93.30121027559868,Very High,Resilient
gtm,Guatemala,29.0,1.281,71.0,76.93792,80.0,6.80241,-0.459367210399328,-0.32061064899764796,0.33224081747543693,0.4970860306145551,-0.013901620209058762,51.77648543404057,High,Resilient
guy,Guyana,66.0,1.387,91.0,54.05208,45.0,2.46674,-0.39777053345645424,0.4676973935153089,-1.0418971326970319,-1.0578315801361515,-1.3402448549405044,29.593175068487557,Low,Priority
hnd,Honduras,38.0,0.489,87.0,65.50083,50.0,7.70976,-0.9195989852932519,0.31003578501271756,-0.35447810603962965,-0.8357004928860505,0.2636696742007043,41.53964346939211,Moderate,Emerging Risk
hrv,Croatia,8.4,3.909,96.0,87.02333,95.0,7.14699,1.0677654972032375,0.6647744041435482,0.937800614452472,1.163479292364858,0.09151031193147803,77.11509253005693,Very High,Resilient
hti,Haiti,185.0,0.292,29.0,37.60542,50.0,3.19157,-1.0340758282908566,-1.9760575382748573,-2.0294064248874655,-0.8357004928860505,-1.1185090293748148,5.988459340697981,Low,Priority
hun,Hungary,6.5,3.456,98.0,90.22125,100.0,6.36869,0.8045268683813342,0.7436052083948439,1.129813808358203,1.3856103796149588,-0.1465827485623981,77.06065780371185,Very High,Resilient
idn,Indonesia,388.0,0.524,87.0,81.09333,70.0,2.7024,-0.899260459887586,0.31003578501271756,0.5817447281698297,0.05282385611435321,-1.2681531028706254,43.58023102613943,Moderate,Priority
ind,India,192.0,0.723,81.0,77.30833,50.0,3.33944,-0.7836214154382289,0.0735433722588305,0.35448140109060566,-0.8357004928860505,-1.0732734892807259,36.794220940940086,Moderate,Priority
irl,Ireland,4.8,3.875,90.0,91.41625,100.0,6.57539,1.048008072523448,0.4282819913896611,1.2015653739750258,1.3856103796149588,-0.08335027316205873,77.47196352802433,Very High,Resilient
irn,Iran,11.0,1.811,90.0,62.9625,45.0,6.02542,-0.1513838256849597,0.4282819913896611,-0.5068874378824317,-1.0578315801361515,-0.25159393303590805,41.51786945651626,Moderate,Emerging Risk
irq,Iraq,23.0,1.022,98.0,54.11417,40.0,5.53275,-0.609872298401255,0.7436052083948439,-1.0381690534425139,-1.2799626673862525,-0.4023087064054546,34.695828602739624,Moderate,Emerging Risk
isl,Iceland,3.6,4.373,99.0,81.7425,100.0,8.7051,1.3373962340097791,0.7830206105204917,0.6207229405978409,1.3856103796149588,0.5681583634361851,82.12810864318539,Very High,Resilient
isr,Israel,2.8,3.797,100.0,87.89042,100.0,7.09822,1.0026822159051072,0.8224360126461395,0.9898634303777363,1.3856103796149588,0.07659087397659407,79.40705355618245,Very High,Resilient
ita,Italy,5.4,4.191,100.0,93.63875,100.0,8.40559,1.2316359019003165,0.8224360126461395,1.3350112773920866,1.3856103796149588,0.47653398652686885,85.75195805429193,Very High,Resilient
jam,Jamaica,4.3,0.46,91.0,71.37208,45.0,7.60494,-0.9364509063436607,0.4676973935153089,-0.0019497548866849095,-1.0578315801361515,0.2316037425535655,43.09740259115698,Moderate,Emerging Risk
jor,Jordan,3.3,2.851,97.0,78.45208,70.0,7.66001,0.4529609292262535,0.704189806269196,0.423155755211309,0.05282385611435321,0.248450440281174,63.80215621340129,High,Resilient
jpn,Japan,9.8,2.649,100.0,90.94375,95.0,10.73979,0.33557858259926787,0.8224360126461395,1.173194985059587,1.163479292364858,1.19059902803375,82.06544009629367,Very High,Resilient
kaz,Kazakhstan,49.0,3.754,98.0,82.80542,65.0,3.76702,0.9776948846924318,0.7436052083948439,0.6845440068115918,-0.16930723113574772,-0.9424706744201687,59.9750996207734,High,Resilient
ken,Kenya,214.0,0.289,37.0,70.63792,70.0,4.35173,-1.0358191304684852,-1.6607343212696746,-0.04603103473040588,0.05282385611435321,-0.7635995535138674,29.05047299419603,Low,Priority
kgz,Kyrgyz Republic,131.0,1.568,98.0,77.78083,85.0,4.50344,-0.2925913020728681,0.7436052083948439,0.38285179000604364,0.719217117864656,-0.7171893027011653,56.9905732650393,High,High Burden
kor,South Korea,38.0,2.61,100.0,91.4525,95.0,8.56507,0.31291565429009727,0.8224360126461395,1.2037419382039878,1.163479292364858,0.5253211910592643,77.7831918701106,Very High,Resilient
kwt,Kuwait,11.0,2.273,100.0,62.43792,60.0,4.96312,0.11708470966982933,0.8224360126461395,-0.5383848741094382,-0.3914383183858487,-0.5765666404272028,47.85300969307991,Moderate,Emerging Risk
lao,Lao,132.0,0.331,87.0,60.89042,35.0,1.32652,-1.011412899981686,0.31003578501271756,-0.6313016505044446,-1.5020937546363533,-1.6890544006636545,22.07747720285471,Low,Priority
lbn,Lebanon,12.0,2.68,99.0,61.84958,40.0,5.57497,0.3535927051014291,0.7830206105204917,-0.5737106616533721,-1.2799626673862525,-0.38939300678570443,44.33817247210113,Moderate,Emerging Risk
lbr,Liberia,215.0,0.178,33.0,59.06625,60.0,13.00575,-1.1003213110407397,-1.818395929772266,-0.7408305655264021,-0.3914383183858487,1.8837884811452805,37.428506305475715,Moderate,Priority
lca,St. Lucia,1.1,4.234,83.0,64.33083,55.0,4.72983,1.2566232331129918,0.1523741765101262,-0.42472859287785675,-0.6135694056359496,-0.6479333757254381,49.739686396229196,Moderate,Emerging Risk
lka,Sri Lanka,57.0,1.136,95.0,77.86708,60.0,3.68314,-0.5436268156513722,0.6253590020179003,0.38803051179219544,-0.3914383183858487,-0.9681307616798711,45.74940370887585,Moderate,Priority
lso,Lesotho,584.0,0.235,50.0,58.04792,60.0,12.61182,-1.0671985696657982,-1.1483340936362527,-0.801974307630652,-0.3914383183858487,1.7632796807850686,40.82575402934446,Moderate,Priority
ltu,Lithuania,34.0,4.466,96.0,93.48083,100.0,7.31802,1.3914386015162625,0.6647744041435482,1.3255292629634599,1.3856103796149588,0.1438308260472016,83.53691868555133,Very High,Resilient
lva,Latvia,22.0,3.398,92.0,91.42708,100.0,7.27784,0.7708230262805167,0.5071127956409568,1.202215641301913,1.3856103796149588,0.13153919149671486,77.58390941598988,Very High,Resilient
mar,Morocco,97.0,0.74,88.0,70.01083,55.0,6.06396,-0.773742703098334,0.3494511871383654,-0.0836834943811614,-0.6135694056359496,-0.23980399785482895,42.677789719674706,Moderate,Priority
mda,Moldova,70.0,4.016,86.0,86.07167,90.0,6.73597,1.1299432748719875,0.27062038288706974,0.8806599492349778,0.941348205114757,-0.03422656295506049,72.31438997089438,High,High Burden
mdg,Madagascar,220.0,0.172,21.0,56.40833,45.0,3.42823,-1.1038079153959965,-2.29138075528004,-0.9004204578144895,-1.0578315801361515,-1.046111363055297,9.859046557536114,Low,Priority
mex,Mexico,28.0,2.588,93.0,91.63833,85.0,5.50399,0.30013143832082173,0.5465281977666047,1.214899756981037,0.719217117864656,-0.41110680022506646,66.98155627579136,High,Resilient
mkd,North Macedonia,11.0,2.944,99.0,84.95875,80.0,7.4273,0.5070032967327369,0.7830206105204917,0.8138367254640371,0.4970860306145551,0.1772611352477294,69.64276401734726,High,Resilient
mli,Mali,52.0,0.188,56.0,63.37833,45.0,3.81317,-1.094510303781978,-0.9118416808823656,-0.4819196943423119,-1.0578315801361515,-0.9283527317993383,22.399078308297128,Low,Priority
mlt,Malta,13.0,4.513,100.0,85.65583,85.0,8.84301,1.4187503356324422,0.8224360126461395,0.8556916052633463,0.719217117864656,0.6103469976038716,80.3793242808499,Very High,Resilient
mne,Montenegro,17.0,2.783,98.0,71.94417,80.0,9.65499,0.41344607986667414,0.7436052083948439,0.03240033145116292,0.4970860306145551,0.8587432500255825,68.12548354049595,High,Resilient
mng,Mongolia,448.0,4.13,72.0,82.70875,65.0,6.07207,1.1961887576218704,-0.2811952468720001,0.678739635390522,-0.16930723113574772,-0.23732303329025822,59.27834305368647,High,High Burden
moz,Mozambique,361.0,0.175,46.0,65.42667,60.0,8.50127,-1.102064613218368,-1.305995702138844,-0.35893090612845224,-0.3914383183858487,0.505803861932309,34.266439214655584,Moderate,Priority
mrt,Mauritania,70.0,0.261,35.0,60.83042,60.0,4.34333,-1.0520899507930177,-1.7395651255209703,-0.6349042395730718,-0.3914383183858487,-0.7661692332108333,21.684424172849134,Low,Priority
mus,Mauritius,12.0,1.436,96.0,78.67625,75.0,5.56544,-0.36929659788852215,0.6647744041435482,0.4366156284032112,0.27495494336445414,-0.3923083695847624,55.54998441452431,High,Resilient
mwi,Malawi,119.0,0.054,40.0,63.58333,45.0,6.5346,-1.1723778010493844,-1.5424881148927312,-0.4696108483578362,-1.0578315801361515,-0.09582851540482512,23.287058004140906,Low,Priority
mys,Malaysia,97.0,2.341,96.0,80.08792,75.0,3.9576,0.1565995590294087,0.6647744041435482,0.5213767435783575,0.27495494336445414,-0.8841695367240068,56.32381951963515,High,High Burden
nam,Namibia,432.0,0.553,41.0,55.01292,60.0,9.48252,-0.8824085388371772,-1.5030727127670833,-0.9842052713520377,-0.3914383183858487,0.805982219390379,32.295850774413765,Moderate,Priority
ner,Niger,83.0,0.038,36.0,66.90625,65.0,4.04896,-1.181675412663403,-1.7001497233953224,-0.2700922605591317,-0.16930723113574772,-0.8562212108770061,24.3337956336026,Low,Priority
nga,Nigeria,219.0,0.38,39.0,65.55708,50.0,4.19086,-0.982938964413754,-1.581903517018379,-0.35110067878779144,-0.8357004928860505,-0.8128119788532608,21.812822709315448,Low,Priority
nld,Netherlands,4.5,3.876,98.0,89.9825,100.0,9.8315,1.048589173249324,0.7436052083948439,1.1154785060226247,1.3856103796149588,0.9127401742293269,85.45749947494343,Very High,Resilient
nor,Norway,2.8,4.975,98.0,94.55667,100.0,9.42925,1.687218870987231,0.7436052083948439,1.390126086689989,1.3856103796149588,0.7896861673121203,90.60499575515107,Very High,Resilient
npl,Nepal,231.0,1.011,83.0,61.01875,55.0,6.15844,-0.616264406385893,0.1523741765101262,-0.6235963129181629,-0.6135694056359496,-0.21090121954895538,39.09113691396336,Moderate,Priority
nzl,New Zealand,6.7,3.611,100.0,91.30958,100.0,10.12948,0.8945974808921402,0.8224360126461395,1.195160571042518,1.3856103796149588,1.0038965023366955,86.08074054992423,Very High,Resilient
omn,Oman,14.0,1.992,99.0,58.24667,50.0,3.49047,-0.04620459430137354,0.7830206105204917,-0.7900407313408246,-0.8357004928860505,-1.0270712601577783,39.064825005119516,Moderate,Emerging Risk
pak,Pakistan,267.0,1.16,72.0,68.91083,60.0,2.51988,-0.5296803982303441,-0.2811952468720001,-0.14973096063932398,-0.3914383183858487,-1.3239885717146989,34.11396122529363,Moderate,Priority
pan,Panama,61.0,1.625,88.0,76.27958,60.0,8.33023,-0.2594685606979266,0.3494511871383654,0.29271200935143726,-0.3914383183858487,0.4534802886740891,54.44258614768814,High,High Burden
per,Peru,149.0,1.688,78.0,78.71583,55.0,5.63786,-0.22285921496772818,-0.04470283411811303,0.43899213632548223,-0.6135694056359496,-0.37015405962592063,46.25432163974519,Moderate,Priority
phl,Philippines,632.0,0.792,86.0,82.70375,65.0,5.10123,-0.7435254653527733,0.27062038288706974,0.6784394196348034,-0.16930723113574772,-0.5343168234095885,48.30103708430206,Moderate,Priority
plw,Palau,85.0,1.808,99.0,55.06542,50.0,10.85468,-0.15312712786258814,0.7830206105204917,-0.9810530059169889,-0.8357004928860505,1.2257455161747517,51.7988813441342,High,High Burden
png,Papua New Guinea,647.0,0.061,24.0,44.24458,30.0,2.87081,-1.168310095968251,-2.1731345489030964,-1.6307703375396978,-1.7242248418864543,-1.2166340840889556,0.0,Low,Priority
pol,Poland,13.0,4.031,99.0,94.65375,100.0,7.13849,1.1386597857601297,0.7830206105204917,1.395955075803028,1.3856103796149588,0.08891004080954833,82.76157574571754,Very High,Resilient
prt,Portugal,16.0,5.851,100.0,93.77833,100.0,10.02761,2.196263106854753,0.8224360126461395,1.3433921004287357,1.3856103796149588,0.9727330177259912,95.32233916670214,Very High,Resilient
pry,Paraguay,76.0,3.893,95.0,71.61833,75.0,8.35731,1.058467885589219,0.6253590020179003,0.012835871082472219,0.27495494336445414,0.46176444655430765,67.39657763611801,High,High Burden
qat,Qatar,40.0,3.022,100.0,66.78625,65.0,2.52359,0.5523291533510778,0.8224360126461395,-0.2772974386963861,-0.16930723113574772,-1.322853629848539,48.97456006084326,Moderate,Emerging Risk
rou,Romania,62.0,3.625,90.0,88.6175,85.0,5.70901,0.9027328910544064,0.4282819913896611,1.033519604711359,0.719217117864656,-0.3483882607641201,69.36367622378876,High,High Burden
rus,Russia,38.0,5.111,91.0,80.94583,90.0,7.04438,1.7662485697063897,0.4676973935153089,0.5728883633761218,0.941348205114757,0.060120450776041175,76.35278043770246,High,Resilient
rwa,Rwanda,62.0,0.09,71.0,73.13917,70.0,5.12709,-1.151458174917842,-0.32061064899764796,0.10415189706798494,0.05282385611435321,-0.5264058809139293,39.55010012039336,Moderate,Priority
sau,Saudi Arabia,8.4,3.406,98.0,83.86333,95.0,5.68722,0.775471832087526,0.7436052083948439,0.7480642568381133,1.163479292364858,-0.35505413226374954,71.57975150620541,High,Resilient
sen,Senegal,133.0,0.109,54.0,76.87875,75.0,4.32315,-1.1404172611261951,-0.9906724851336612,0.32868806422225866,0.27495494336445414,-0.7723425827685442,36.56480715460863,Moderate,Priority
sgp,Singapore,41.0,2.834,100.0,88.7675,80.0,4.49163,0.4430822168863587,0.8224360126461395,1.0425260773829264,0.4970860306145551,-0.7208021499893996,65.12284813330972,High,Resilient
slb,Solomon Islands,97.0,0.238,34.0,49.255,45.0,5.36366,-1.0654552674881697,-1.7789805276466182,-1.3299289321858572,-1.0578315801361515,-0.4540357468768788,14.50559680273916,Low,Priority
sle,Sierra Leone,380.0,0.134,41.0,61.105,45.0,4.71883,-1.125889742979291,-1.5030727127670833,-0.6184175911320116,-1.0578315801361515,-0.6512984324714649,19.25898915347408,Low,Priority
slv,El Salvador,86.0,1.616,88.0,75.56083,70.0,9.28739,-0.2646984672308121,0.3494511871383654,0.2495559944668422,0.05282385611435321,0.7462891718583606,58.92866534210754,High,High Burden
srb,Serbia,20.0,3.099,98.0,84.07208,85.0,8.03134,0.5970739092435429,0.7436052083948439,0.760598264639378,0.719217117864656,0.36204557859954883,72.27657522387456,High,Resilient
ssd,South Sudan,326.0,0.041,30.0,23.84125,30.0,11.61002,-1.1799321104857745,-1.9366421361492097,-2.8558505645662096,-1.7242248418864543,1.4568147854969213,10.899440764602039,Low,Priority
stp,Sao Tome and Principe,73.0,0.464,49.0,53.43125,35.0,5.77292,-0.934126503440156,-1.1877494957619006,-1.0791737222216273,-1.5020937546363533,-0.32883728106970456,18.7673747586534,Low,Priority
sur,Suriname,31.0,1.355,89.0,57.5375,55.0,5.40666,-0.4163657566844916,0.38886658926401324,-0.8326215328374623,-0.6135694056359496,-0.4408814341424107,39.07410695429697,Moderate,Emerging Risk
svk,Slovak Republic,4.6,3.697,98.0,89.76833,100.0,7.35262,0.9445721433174904,0.7436052083948439,1.1026190643421605,1.3856103796149588,0.15441545908470405,79.75645900219065,Very High,Resilient
svn,Slovenia,4.7,3.367,98.0,94.22042,100.0,9.30009,0.7528089037783554,0.7436052083948439,1.369936577117892,1.3856103796149588,0.7501742828287735,84.12937713082974,Very High,Resilient
swe,Sweden,3.8,4.408,99.0,94.41,100.0,11.15292,1.357734759415445,0.7830206105204917,1.38131955771173,1.3856103796149588,1.3169813819870266,92.09291824553847,Very High,Resilient
swz,Eswatini,326.0,0.557,68.0,61.5225,60.0,7.49764,-0.8800841359336725,-0.43885685537459146,-0.5933495755294812,-0.3914383183858487,0.1987791435673224,37.83398771201493,Moderate,Priority
syc,Seychelles,18.0,6.598,99.0,59.99792,70.0,4.48238,2.630345349084249,0.7830206105204917,-0.6848901629002722,0.05282385611435321,-0.7236318567985585,64.94918295394682,High,Resilient
syr,Syria,23.0,1.521,95.0,31.83792,40.0,2.70999,-0.31990303618904803,0.6253590020179003,-2.375705299109243,-1.2799626673862525,-1.265831213715867,21.476782379689798,Low,Emerging Risk
